,ACCNUM,ACCLASS,INVOLVED,MOTIVE,X,Y,LATITUDE,LONGITUDE,DATE_TIME,SEASON,YEAR,MONTH,MONTH_NAME,DAY_NAME,HOUR,HOUR_INTERVAL,ROAD_CLASS,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,IMPACTYPE,DISTRICT,NEIGHBOURHOOD,HOOD_ID,LOCCOORD,PEOPLE_COUNT,FATAL_INJURY_COUNT,MAJOR_INJURY_COUNT,MINOR_INJURY_COUNT,NO_INJURY_COUNT,NULL_INJURY_COUNT,DRIVERS_COUNT,PEDESTRIAN_COUNT,PASSENGER_COUNT,CYCLIST_COUNT,OTHER_INVTYPE_COUNT,NULL_INVTYPE_COUNT,PEOPLE_VEH_COUNT,AUTOMOBILE_VEH_COUNT,RECREATIONAL_VEH_COUNT,OTHER_VEH_COUNT,NULL_VEH_COUNT,PEDESTRIAN,Season,Weekday,Hour
4178,5000800766,Fatal,"Pedestrian, Automobile",Not Recorded,-8821777.87698156,5424549.1012821,43.735163,-79.24737900000002,2015-05-13 22:08:00,Spring,2015,5,May,Wednesday,22,22:00 to 22:59,Major Arterial,At Intersection,Traffic Signal,Clear,Dark,Dry,Pedestrian Collisions,Scarborough,Eglinton East (138),138,Intersection,2,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,Spring,2,22
4183,5000814405,Fatal,"Pedestrian, Automobile",Not Recorded,-8845204.95249952,5412232.94615193,43.655169,-79.457828,2015-05-16 03:25:00,Spring,2015,5,May,Saturday,3,03:00 to 03:59,Major Arterial,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Pedestrian Collisions,Toronto and East York,High Park-Swansea (87),87,Mid-Block,3,1,0,0,2,0,1,1,1,0,0,0,0,1,0,0,0,1,Spring,5,3
4184,5000832268,Fatal,"Cyclist, Automobile",Not Recorded,-8836798.54983277,5415965.44150829,43.679423,-79.382312,2015-05-19 08:23:00,Spring,2015,5,May,Tuesday,8,08:00 to 08:59,Collector,<Null>,Stop Sign,Clear,"Daylight, artificial",Dry,Cyclist Collisions,Toronto and East York,Rosedale-Moore Park (98),98,Intersection,2,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,Spring,1,8
4188,5000851624,Fatal,"Pedestrian, Automobile",Aggressive and Distracted Driving Collision,-8832182.57582754,5423390.90392252,43.727645,-79.340846,2015-05-22 08:22:00,Spring,2015,5,May,Friday,8,08:00 to 08:59,Major Arterial,Intersection Related,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,North York,Banbury-Don Mills (42),42,Intersection,4,1,0,2,1,0,2,2,0,0,0,0,0,2,0,0,0,1,Spring,4,8
4195,5000887145,Fatal,Automobile,Not Recorded,-8856518.46366833,5417665.98598066,43.69047,-79.55945899999998,2015-05-27 21:20:00,Spring,2015,5,May,Wednesday,21,21:00 to 21:59,Local,Non Intersection,Stop Sign,Clear,"Dark, artificial",Dry,SMV Other,Etobicoke York,Willowridge-Martingrove-Richview (7),7,Intersection,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Spring,2,21
4202,5000912141,Fatal,"Pedestrian, Automobile","Speeding  Related Collision, Aggressive and Distracted Driving Collision",-8842152.57206196,5413119.8427472,43.660933,-79.430408,2015-05-31 21:04:00,Spring,2015,5,May,Sunday,21,21:00 to 21:59,Major Arterial,<Null>,No Control,Rain,Dusk,Wet,Pedestrian Collisions,Toronto and East York,Dufferin Grove (83),83,Intersection,2,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,Spring,6,21
4203,5000922282,Fatal,"Pedestrian, Automobile",Not Recorded,-8821559.57946012,5427688.73532082,43.755538,-79.245418,2015-06-02 12:33:00,Spring,2015,6,June,Tuesday,12,12:00 to 12:59,Major Arterial,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Scarborough,Woburn (137),137,Intersection,3,1,0,1,1,0,2,1,0,0,0,0,0,2,0,0,0,1,Spring,1,12
4216,5000976277,Fatal,"Cyclist, Automobile","Speeding  Related Collision, Alcohol  Related Collision, Aggressive and Distracted Driving Collision",-8850781.39107131,5428264.23249071,43.759272,-79.507922,2015-06-11 00:24:00,Spring,2015,6,June,Thursday,0,00:00 to 00:59,Major Arterial,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Cyclist Collisions,Etobicoke York,Glenfield-Jane Heights (25),25,Intersection,2,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,Spring,3,0
4217,5000979465,Fatal,"Pedestrian, Automobile",Not Recorded,-8840202.58854174,5429804.25707259,43.769263,-79.412891,2015-06-11 13:22:00,Spring,2015,6,June,Thursday,13,13:00 to 13:59,Major Arterial,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,North York,Willowdale East (51),51,Intersection,6,1,2,2,1,0,2,4,0,0,0,0,0,2,0,0,0,1,Spring,3,13
4219,5000989979,Fatal,Automobile,"Speeding  Related Collision, Aggressive and Distracted Driving Collision",-8850174.14324903,5407230.12976074,43.622645,-79.50246700000002,2015-06-13 03:00:00,Spring,2015,6,June,Saturday,3,03:00 to 03:59,<Null>,<Null>,No Control,Rain,Dark,Wet,SMV Other,Etobicoke York,Stonegate-Queensway (16),16,Mid-Block,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Spring,5,3
