INDEX_,DATE_TIME,SEASON,YEAR,MONTH,MONTH_NAME,DAY_NAME,HOUR,HOUR_INTERVAL,ACCNUM,INVTYPE,INVAGE,INJURY,DISTRICT,NEIGHBOURHOOD,VEHTYPE,VEHICLE_CATEGORY,ALCOHOL
7467252,2012-09-22 18:45:00,Summer,2012,9,September,Saturday,18,18:00 to 18:59,1316338,Driver,15 to 19,None,Etobicoke York,West Humber-Clairville (1),"Automobile, Station Wagon",Automobile,<Null>
7467253,2012-09-22 18:45:00,Summer,2012,9,September,Saturday,18,18:00 to 18:59,1316338,Pedestrian,15 to 19,Fatal,Etobicoke York,West Humber-Clairville (1),Other,Other,<Null>
7467254,2012-09-22 18:45:00,Summer,2012,9,September,Saturday,18,18:00 to 18:59,1316338,Pedestrian,15 to 19,None,Etobicoke York,West Humber-Clairville (1),Other,Other,<Null>
7470680,2012-09-24 08:48:00,Autumn,2012,9,September,Monday,08,08:00 to 08:59,1317754,Motorcycle Driver,60 to 64,Major,Toronto and East York,Moss Park (73),Motorcycle,Recreational,<Null>
7470681,2012-09-24 08:48:00,Autumn,2012,9,September,Monday,08,08:00 to 08:59,1317754,Driver - Not Hit,unknown,None,Toronto and East York,Moss Park (73),"Automobile, Station Wagon",Automobile,<Null>
7483183,2012-09-24 08:53:00,Autumn,2012,9,September,Monday,08,08:00 to 08:59,1322994,Driver,65 to 69,None,North York,Bedford Park-Nortown (39),"Automobile, Station Wagon",Automobile,<Null>
7483184,2012-09-24 08:53:00,Autumn,2012,9,September,Monday,08,08:00 to 08:59,1322994,Pedestrian,25 to 29,Major,North York,Bedford Park-Nortown (39),Other,Other,<Null>
7482853,2012-09-24 08:58:00,Autumn,2012,9,September,Monday,08,08:00 to 08:59,1322840,Driver,35 to 39,None,Toronto and East York,High Park North (88),"Automobile, Station Wagon",Automobile,<Null>
7482854,2012-09-24 08:58:00,Autumn,2012,9,September,Monday,08,08:00 to 08:59,1322840,Pedestrian,25 to 29,Major,Toronto and East York,High Park North (88),Other,Other,<Null>
7542384,2012-09-24 16:20:00,Autumn,2012,9,September,Monday,16,16:00 to 16:59,1316650,Driver,50 to 54,None,Scarborough,Kennedy Park (124),"Automobile, Station Wagon",Automobile,<Null>
7542385,2012-09-24 16:20:00,Autumn,2012,9,September,Monday,16,16:00 to 16:59,1316650,Vehicle Owner,unknown,<Null>,Scarborough,Kennedy Park (124),Other,Other,<Null>
7542386,2012-09-24 16:20:00,Autumn,2012,9,September,Monday,16,16:00 to 16:59,1316650,Driver,20 to 24,None,Scarborough,Kennedy Park (124),"Automobile, Station Wagon",Automobile,<Null>
